Cherished Memories: A Gift to Remember 2,2019,Kevin Fair,Peter Porte|Ali Liebert|Tina Lifford|Dominic Mariche,6.2
Grandpa's Great Escape,2018,Elliot Hegarty,Tom Courtenay|David Walliams|Kit Connor|Samantha Spiro,6.7
Johnny Tsunami,1999,Steve Boyum,Cary-Hiroyuki Tagawa|Brandon Baker|Mary Page Keller|Yuji Okumoto,6.3
A Homecoming for the Holidays,2019,Catherine Cyran,Laura Osnes|Stephen Huszar|P. Lynn Johnson|Jan Bos,6.7
A Christmas Carol,1999,David Hugh Jones,Patrick Stewart|Richard E. Grant|Joel Grey|Ian McNeice,7.4
My Christmas Dream,2016,James Head,Danica McKellar|David Haydn-Jones|Christine Lee|Deidre Hall,6.3
12 Gifts of Christmas,2015,Peter Sullivan,Katrina Law|Aaron O'Connell|Donna Mills|Melanie Nelson,6.7
Agatha and the Truth of Murder,2018,Terry Loane,Dean Andrews|Ruth Bradley|Bebe Cave|Amelia Dell,6.3
From Straight A's to XXX,2017,Vanessa Parise,Haley Pullos|Sasha Clements|Judd Nelson|Jessica Lu,5.1
The Sweetest Christmas,2017,Terry Ingram,Lacey Chabert|Lea Coco|Jonathan Adams|Brenden Sunderland,6.3
Christmas Vacation 2: Cousin Eddie's Island Adventure,2003,Nick Marck,Kate Simmons|Jake Thomas|Randy Quaid|Fred Willard,2.7
Merry & Bright,2019,Gary Yates,Jodie Sweetin|Andrew W. Walker|Sharon Lawrence|Stephanie Moroz,6.6
Unaired Game of Thrones Prequel Pilot,2019,S.J. Clarkson,John Heffernan|Naomi Ackie|Naomi Watts|Georgie Henley,8.0
Gwiazdka z Holly,2012,Allan Arkush,Sean Faris|Eloise Mumford|Daniel Eric Gold|Dana Watkins,7.0
Christmas Wishes and Mistletoe Kisses,2019,D.J. Viola,Jill Wagner|Matthew Davis|Donna Mills|Brandon Quinn,6.6
Christmas Around the Corner,2018,Megan Follows,Alexandra Breckenridge|Jamie Spilchuk|Jane Alexander|Nick Burden,6.7
Boys,2014,Mischa Kamp,Gijs Blom|Ko Zandvliet|Jonas Smulders|Ton Kas,7.4
Snowed-Inn Christmas,2017,Gary Yates,Bethany Joy Lenz|Andrew W. Walker|Belinda Montgomery|John B. Lowe,7.3
The Christmas Cure,2017,John Bradshaw,Brooke Nevin|Steve Byers|Patrick Duffy|Kathleen Laskey,6.3
