The Great Gatsby,2013,Baz Luhrmann,Leonardo DiCaprio|Tobey Maguire,7.3
The Hateful Eight,2015,Quentin Tarantino,Samuel L. Jackson|Kurt Russell,7.6
Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,Johnny Depp|Penélope Cruz,7.4
Red Dragon,2002,Brett Ratner,Anthony Hopkins|Edward Norton,7.6
Sala samobojcow,2011,Jan Komasa,Jakub Gierszal|Roma Gasiorowska,6.3
Cloud Atlas,2012,Tom Tykwer,Tom Hanks|Halle Berry,7.1
Jurassic Park,1993,Steven Spielberg,Sam Neill|Laura Dern,7.0
Star Wars,1977,George Lucas,Mark Hamill|Harrison Ford,7.9
American Gangster,2007,Ridley Scott,Denzel Washington|Russell Crowe,7.8
Twilight,2008,Catherine Hardwicke,Kristen Stewart|Robert Pattinson,5.6
Spider-Man,2002,Sam Raimi,Tobey Maguire|Willem Dafoe,6.7
Cidade de Deus,2002,Fernando Meirelles,Alexandre Rodrigues|Leandro Firmino,8.0
Reservoir Dogs,1992,Quentin Tarantino,Harvey Keitel|Michael Madsen,8.0
The Hunger Games: Catching Fire,2013,Francis Lawrence,Jennifer Lawrence|Josh Hutcherson,7.3
Sleepy Hollow,1999,Tim Burton,Johnny Depp|Christina Ricci,7.4
Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,Daniel Radcliffe|Rupert Grint,7.5
The Hangover Part II,2011,Todd Phillips,Bradley Cooper|Ed Helms,6.9
The Mist,2007,Frank Darabont,Thomas Jane|Marcia Gay Harden,5.8
WALL·E,2008,Andrew Stanton,Fred Willard,7.6
Love Actually,2003,Richard Curtis,Alan Rickman|Hugh Grant,7.6
Drive,2011,Nicolas Winding Refn,Ryan Gosling|Carey Mulligan,7.2
Alien,1979,Ridley Scott,Sigourney Weaver|Tom Skerritt,7.8
How to Train Your Dragon,2010,Dean DeBlois,None,7.9
The Imitation Game,2014,Morten Tyldum,Benedict Cumberbatch|Keira Knightley,7.4
